tensor(-0.7124, grad_fn=<DivBackward0>)
tensor(-0.8815, grad_fn=<DivBackward0>)
tensor(-0.8923, grad_fn=<DivBackward0>)
tensor(-0.8973, grad_fn=<DivBackward0>)
tensor(-0.8955, grad_fn=<DivBackward0>)
tensor(-0.9001, grad_fn=<DivBackward0>)
tensor(-0.9030, grad_fn=<DivBackward0>)
tensor(-0.8991, grad_fn=<DivBackward0>)
tensor(-0.9050, grad_fn=<DivBackward0>)
tensor(-0.9026, grad_fn=<DivBackward0>)
tensor(-0.9040, grad_fn=<DivBackward0>)
tensor(-0.9038, grad_fn=<DivBackward0>)
tensor(-0.8996, grad_fn=<DivBackward0>)
tensor(-0.9031, grad_fn=<DivBackward0>)
tensor(-0.8984, grad_fn=<DivBackward0>)
tensor(-0.9021, grad_fn=<DivBackward0>)
tensor(-0.9042, grad_fn=<DivBackward0>)
tensor(-0.9049, grad_fn=<DivBackward0>)
tensor(-0.9099, grad_fn=<DivBackward0>)
tensor(-0.9045, grad_fn=<DivBackward0>)
tensor(-0.9083, grad_fn=<DivBackward0>)
tensor(-0.9024, grad_fn=<DivBackward0>)
tensor(-0.9079, grad_fn=<DivBackward0>)
tensor(-0.9014, grad_fn=<DivBackward0>)
tensor(-0.9102, grad_fn=<DivBackward0>)
tensor(-0.9023, grad_fn=<DivBackward0>)
tensor(-0.9056, grad_fn=<DivBackward0>)
tensor(-0.9042, grad_fn=<DivBackward0>)
tensor(-0.9044, grad_fn=<DivBackward0>)
tensor(-0.9101, grad_fn=<DivBackward0>)
tensor(-0.9066, grad_fn=<DivBackward0>)
tensor(-0.9103, grad_fn=<DivBackward0>)
tensor(-0.9020, grad_fn=<DivBackward0>)
tensor(-0.9087, grad_fn=<DivBackward0>)
tensor(-0.9087, grad_fn=<DivBackward0>)
tensor(-0.9092, grad_fn=<DivBackward0>)
tensor(-0.9048, grad_fn=<DivBackward0>)
tensor(-0.9083, grad_fn=<DivBackward0>)
tensor(-0.9101, grad_fn=<DivBackward0>)
tensor(-0.9011, grad_fn=<DivBackward0>)
tensor(-0.9097, grad_fn=<DivBackward0>)
tensor(-0.9058, grad_fn=<DivBackward0>)
