tensor(-0.6155, grad_fn=<DivBackward0>)
tensor(-0.8717, grad_fn=<DivBackward0>)
tensor(-0.9031, grad_fn=<DivBackward0>)
tensor(-0.9131, grad_fn=<DivBackward0>)
tensor(-0.9157, grad_fn=<DivBackward0>)
tensor(-0.9182, grad_fn=<DivBackward0>)
tensor(-0.9164, grad_fn=<DivBackward0>)
tensor(-0.9178, grad_fn=<DivBackward0>)
tensor(-0.9163, grad_fn=<DivBackward0>)
tensor(-0.9191, grad_fn=<DivBackward0>)
tensor(-0.9178, grad_fn=<DivBackward0>)
tensor(-0.9203, grad_fn=<DivBackward0>)
tensor(-0.9157, grad_fn=<DivBackward0>)
tensor(-0.9213, grad_fn=<DivBackward0>)
tensor(-0.9208, grad_fn=<DivBackward0>)
tensor(-0.9185, grad_fn=<DivBackward0>)
tensor(-0.9189, grad_fn=<DivBackward0>)
tensor(-0.9230, grad_fn=<DivBackward0>)
tensor(-0.9214, grad_fn=<DivBackward0>)
tensor(-0.9201, grad_fn=<DivBackward0>)
tensor(-0.9189, grad_fn=<DivBackward0>)
tensor(-0.9206, grad_fn=<DivBackward0>)
tensor(-0.9162, grad_fn=<DivBackward0>)
tensor(-0.9201, grad_fn=<DivBackward0>)
tensor(-0.9188, grad_fn=<DivBackward0>)
tensor(-0.9173, grad_fn=<DivBackward0>)
tensor(-0.9212, grad_fn=<DivBackward0>)
tensor(-0.9217, grad_fn=<DivBackward0>)
